,Mkt-RF,SMB,HML,RMW,CMA,RF
20190329,0.66,-0.28,-0.92,0.21,-0.17,0.009
20190401,1.19,-0.19,0.99,-0.07,-0.32,0.01
20190402,-0.05,-0.18,-0.45,-0.39,-0.5,0.01
20190403,0.27,0.23,-0.4,0.13,-0.4,0.01
20190404,0.19,0.35,0.93,0.64,0.22,0.01
20190405,0.52,0.49,-0.07,-0.28,0.1,0.01
20190408,0.08,-0.31,0.1,0.27,-0.03,0.01
20190409,-0.65,-0.6,-0.14,0.12,-0.03,0.01
20190410,0.48,0.95,-0.1,0.09,-0.11,0.01
20190411,0,-0.27,0.41,0.04,0.11,0.01
20190412,0.65,-0.36,0.65,0.53,-0.25,0.01
20190415,-0.09,-0.26,-0.54,0.36,0.08,0.01
20190416,0.13,0.24,0.7,-0.09,-0.13,0.01
20190417,-0.32,-0.53,0.84,1.13,-0.27,0.01
20190418,0.11,-0.28,-0.51,0.15,-0.21,0.01
20190422,0.11,-0.48,-0.55,-0.52,-0.16,0.01
20190423,0.97,0.66,-0.49,-0.11,-0.44,0.01
20190424,-0.23,0.31,-0.08,0.61,0.03,0.01
20190425,-0.14,-0.79,-0.19,-0.64,-0.23,0.01
20190426,0.53,0.48,0.06,-0.08,-0.19,0.01
20190429,0.18,0.16,0.64,-0.38,-0.15,0.01
20190430,-0.04,-0.68,0.28,0.1,0.7,0.01
20190501,-0.83,-0.07,-0.03,0.34,-0.06,0.009
20190502,-0.16,0.46,-0.28,0,0.05,0.009
20190503,1.13,0.93,-0.27,-0.01,-0.34,0.009
20190506,-0.39,0.58,-0.41,0.02,0.06,0.009
20190507,-1.69,-0.27,0.51,0.03,0.32,0.009
20190508,-0.22,-0.21,-0.32,-0.01,0.18,0.009
20190509,-0.28,0.06,0.12,-0.35,0.01,0.009
20190510,0.35,-0.33,0.08,-0.1,0.26,0.009
20190513,-2.67,-0.68,0.29,0.23,0.83,0.009
20190514,0.93,0.34,-0.02,-0.55,0,0.009
20190515,0.58,-0.1,-0.96,0.13,-0.29,0.009
20190516,0.91,-0.45,-0.32,-0.14,-0.23,0.009
20190517,-0.73,-0.76,0.29,0.06,0.32,0.009
20190520,-0.65,-0.11,0.72,0.06,0.42,0.009
20190521,0.9,0.44,-0.34,-0.13,-0.18,0.009
20190522,-0.4,-0.65,-0.6,-0.15,0.2,0.009
20190523,-1.37,-0.72,-0.28,0.31,0.28,0.009
20190524,0.23,0.51,0.3,-0.49,-0.03,0.009
20190528,-0.78,0.21,-0.63,0.01,-0.26,0.009
20190529,-0.71,-0.24,0.42,-0.19,0.01,0.009
20190530,0.14,-0.38,-0.77,0.27,-0.04,0.009
20190531,-1.37,-0.23,-0.09,0.03,0.4,0.009
20190603,-0.4,0.58,1.66,0.27,1.39,0.009
20190604,2.33,0.49,-0.02,0.29,-0.47,0.009
20190605,0.7,-1.06,-0.98,0.06,-0.2,0.009
20190606,0.55,-1.08,0.02,0.06,-0.07,0.009
20190607,1.04,-0.14,-1.21,0.35,-0.65,0.009
20190610,0.53,0.01,0.09,0.39,-0.36,0.009
20190611,-0.12,-0.21,0.55,0.47,0.18,0.009
20190612,-0.2,0.29,-0.99,0.06,0.1,0.009
20190613,0.52,0.68,-0.04,-0.13,-0.06,0.009
20190614,-0.27,-0.74,0.31,0.25,0.14,0.009
20190617,0.15,0.49,-1.12,-0.67,-0.43,0.009
20190618,1.04,0.19,0.33,-0.25,-0.19,0.009
20190619,0.32,0.02,-0.6,-0.21,0.16,0.009
20190620,0.89,-0.4,-0.22,-0.11,-0.11,0.009
20190621,-0.21,-0.46,-0.03,-0.11,0.02,0.009
